x,z,K00,K01,K02,K10,K11,K12,K20,K21,K22
-9,0.496063,-0.0204443,0.00518545,0.00297847,0.00407572,0.0282676,-0.000185716,0.00289928,-0.000374579,0.0284802
-9,0.637795,-0.0203059,0.00515639,0.00381737,0.00405831,0.0282053,-0.000237716,0.00373757,-0.000478866,0.0283015
-9,0.779528,-0.0201327,0.00512025,0.00464419,0.00403658,0.0281279,-0.000288907,0.00456388,-0.000581197,0.02808
-9,0.92126,-0.0199255,0.00507725,0.00545641,0.00401061,0.0280356,-0.000339122,0.00537568,-0.000681176,0.0278168
-9,1.06299,-0.0196856,0.00502763,0.00625162,0.00398054,0.0279286,-0.000388202,0.00617059,-0.000778428,0.0275133
-9,1.20472,-0.0194142,0.00497167,0.00702757,0.0039465,0.0278074,-0.000435995,0.00694633,-0.000872603,0.0271711
-9,1.34646,-0.0191127,0.00490968,0.00778213,0.00390863,0.0276722,-0.000482362,0.00770078,-0.000963381,0.026792
-9,1.48819,-0.0187826,0.00484201,0.00851335,0.00386711,0.0275236,-0.000527173,0.008432,-0.00105047,0.0263777
-9,1.62992,-0.0184257,0.004769,0.00921943,0.00382212,0.027362,-0.000570309,0.00913818,-0.00113361,0.0259304
-9,1.77165,-0.0180436,0.00469104,0.00989877,0.00377385,0.0271879,-0.000611663,0.00981773,-0.00121258,0.0254523
-9,1.91339,-0.0176383,0.00460854,0.01055,0.0037225,0.0270018,-0.000651143,0.0104692,-0.00128718,0.0249455
-9,2.05512,-0.0172116,0.00452188,0.0111718,0.00366828,0.0268042,-0.000688667,0.0110915,-0.00135725,0.0244124
-9,2.19685,-0.0167655,0.00443148,0.0117632,0.00361141,0.0265957,-0.000724167,0.0116834,-0.00142268,0.0238553
-9,2.33858,-0.0163019,0.00433777,0.0123233,0.0035521,0.026377,-0.000757588,0.0122441,-0.00148338,0.0232767
-9,2.48031,-0.0158228,0.00424116,0.0128516,0.00349057,0.0261485,-0.000788888,0.012773,-0.00153928,0.022679
-9,2.62205,-0.0153302,0.00414205,0.0133474,0.00342706,0.0259109,-0.000818038,0.0132697,-0.00159036,0.0220646
-9,2.76378,-0.0148261,0.00404086,0.0138106,0.00336178,0.0256648,-0.00084502,0.0137337,-0.00163663,0.0214358
-9,2.90551,-0.0143123,0.00393799,0.0142411,0.00329496,0.0254108,-0.000869829,0.0141651,-0.00167813,0.020795
-9,3.04724,-0.0137908,0.00383381,0.0146387,0.00322682,0.0251495,-0.00089247,0.0145638,-0.0017149,0.0201446
-9,3.18898,-0.0132634,0.00372869,0.0150039,0.00315756,0.0248815,-0.000912959,0.01493,-0.00174704,0.0194866
-9,3.33071,-0.0127318,0.00362299,0.0153369,0.00308741,0.0246074,-0.000931323,0.0152641,-0.00177465,0.0188232
-9,3.47244,-0.0121978,0.00351704,0.0156381,0.00301655,0.0243279,-0.000947596,0.0155665,-0.00179786,0.0181566
-9,3.61417,-0.0116629,0.00341116,0.0159082,0.00294518,0.0240434,-0.000961822,0.0158379,-0.0018168,0.0174886
-9,3.75591,-0.0111287,0.00330565,0.0161479,0.0028735,0.0237546,-0.00097405,0.0160788,-0.00183164,0.0168211
-9,3.89764,-0.0105966,0.00320077,0.0163579,0.00280167,0.023462,-0.000984338,0.0162901,-0.00184255,0.0161558
-9,4.03937,-0.0100679,0.00309679,0.0165391,0.00272987,0.0231662,-0.00099275,0.0164727,-0.00184969,0.0154944
-9,4.1811,-0.00954382,0.00299393,0.0166925,0.00265825,0.0228675,-0.000999352,0.0166275,-0.00185327,0.0148383
-9,4.32283,-0.00902559,0.0028924,0.0168191,0.00258697,0.0225667,-0.00100422,0.0167554,-0.00185347,0.0141889
-9,4.46457,-0.00851423,0.0027924,0.0169199,0.00251615,0.022264,-0.00100742,0.0168576,-0.00185049,0.0135476
-9,4.6063,-0.00801068,0.0026941,0.016996,0.00244593,0.0219601,-0.00100904,0.0169352,-0.00184452,0.0129154
-9,4.74803,-0.0075158,0.00259763,0.0170486,0.00237642,0.0216553,-0.00100915,0.0169891,-0.00183577,0.0122935
-9,4.88976,-0.00703036,0.00250314,0.0170787,0.00230774,0.02135,-0.00100784,0.0170207,-0.00182444,0.0116827
-9,5.0315,-0.00655502,0.00241073,0.0170875,0.00223997,0.0210446,-0.00100519,0.017031,-0.00181071,0.0110838
-9,5.17323,-0.00609038,0.00232051,0.0170762,0.00217321,0.0207396,-0.00100128,0.0170211,-0.00179479,0.0104977
-9,5.31496,-0.00563695,0.00223254,0.017046,0.00210754,0.0204351,-0.000996196,0.0169923,-0.00177686,0.00992487
-9,5.45669,-0.00519515,0.00214688,0.0169979,0.00204301,0.0201317,-0.000990011,0.0169456,-0.0017571,0.00936588
-9,5.59843,-0.00476534,0.00206359,0.0169331,0.00197971,0.0198295,-0.000982808,0.0168822,-0.00173569,0.00882118
-9,5.74016,-0.00434781,0.00198271,0.0168528,0.00191766,0.0195289,-0.000974664,0.0168033,-0.00171279,0.00829111
-9,5.88189,-0.00394277,0.00190424,0.0167579,0.00185693,0.0192301,-0.000965656,0.0167098,-0.00168858,0.00777594
-9,6.02362,-0.00355039,0.00182821,0.0166496,0.00179754,0.0189334,-0.000955857,0.0166028,-0.0016632,0.0072759
-9,6.16535,-0.00317075,0.00175462,0.0165288,0.00173953,0.018639,-0.000945338,0.0164833,-0.00163681,0.0067911
-9,6.30709,-0.00280393,0.00168345,0.0163966,0.00168291,0.018347,-0.000934167,0.0163524,-0.00160953,0.00632162
-9,6.44882,-0.00244991,0.00161469,0.0162539,0.00162771,0.0180578,-0.000922411,0.016211,-0.00158151,0.00586748
-9,6.59055,-0.00210866,0.00154831,0.0161017,0.00157394,0.0177714,-0.000910133,0.01606,-0.00155287,0.00542864
-9,6.73228,-0.00178009,0.00148429,0.0159407,0.00152159,0.017488,-0.000897392,0.0159003,-0.00152372,0.00500502
-9,6.87402,-0.0014641,0.00142258,0.0157719,0.00147068,0.0172078,-0.000884245,0.0157327,-0.00149417,0.00459649
-9,7.01575,-0.00116053,0.00136315,0.0155961,0.0014212,0.0169309,-0.000870747,0.015558,-0.00146432,0.00420288
-9,7.15748,-0.000869217,0.00130596,0.0154139,0.00137314,0.0166573,-0.000856948,0.015377,-0.00143425,0.00382401
-9,7.29921,-0.000589953,0.00125094,0.0152262,0.0013265,0.0163873,-0.000842898,0.0151904,-0.00140407,0.00345964
-9,7.44094,-0.00032252,0.00119806,0.0150336,0.00128125,0.0161208,-0.000828639,0.014999,-0.00137385,0.00310952
-9,7.58268,-6.6678e-05,0.00114724,0.0148368,0.00123738,0.0158579,-0.000814216,0.0148032,-0.00134365,0.00277337
-9,7.72441,0.000177827,0.00109845,0.0146363,0.00119487,0.0155988,-0.000799668,0.0146038,-0.00131354,0.00245091
-9,7.86614,0.000411264,0.00105162,0.0144328,0.00115371,0.0153434,-0.000785031,0.0144013,-0.00128359,0.00214181
-9,8.00787,0.000633911,0.00100669,0.0142268,0.00111386,0.0150918,-0.000770339,0.0141962,-0.00125385,0.00184575
-9,8.14961,0.000846047,0.000963607,0.0140187,0.0010753,0.0148441,-0.000755624,0.0139891,-0.00122436,0.0015624
-9,8.29134,0.00104801,0.000922301,0.013809,0.00103801,0.0146002,-0.000740905,0.0137804,-0.00119517,0.00129144
-9,8.43307,0.00124144,0.000882564,0.0135982,0.00100179,0.0143601,-0.00072639,0.0135704,-0.00116631,0.00103344
-9,8.5748,0.00149249,0.000836881,0.0133812,0.000959164,0.0141228,-0.000710551,0.0133537,-0.00113719,0.000855594
-9,8.71654,0.00113489,0.000860595,0.0132024,0.000985567,0.0138989,-0.000702299,0.0131537,-0.00111163,0.000132845
-9,8.85827,0.00124767,0.000825287,0.0132592,0.000952403,0.0136909,-0.000677398,0.0132353,-0.00109862,0.00104759
-9,9,0.00124767,0.000825287,0.0132592,0.000952403,0.0136909,-0.000677398,0.0132353,-0.00109862,0.00104759
-8.85827,-9,0.00130868,0.000821391,-0.0132178,0.000948553,0.0136891,0.000677475,-0.0132152,0.00109822,0.00105631
-8.85827,-8.85827,0.0013419,0.000855306,-0.0132501,0.000983052,0.013738,0.000698006,-0.013247,0.00111568,0.00109836
-8.85827,-8.71654,0.00128722,0.000890451,-0.0131649,0.00101658,0.0139387,0.00072781,-0.0131573,0.00113517,-0.000420966
-8.85827,-8.5748,0.00201148,0.000827328,-0.0133135,0.000950484,0.0141483,0.00073218,-0.0133295,0.00115795,0.000603238
-8.85827,-8.43307,0.00174228,0.000876874,-0.013533,0.00099692,0.0143879,0.000750695,-0.013551,0.00118816,0.000748436
-8.85827,-8.29134,0.00156698,0.000916419,-0.0137436,0.00103286,0.0146287,0.000765774,-0.0137623,0.00121787,0.00100622
-8.85827,-8.14961,0.00138318,0.000957597,-0.0139532,0.00106994,0.0148733,0.000781422,-0.0139725,0.00124792,0.00127634
-8.85827,-8.00787,0.00119052,0.00100047,-0.0141613,0.0011082,0.0151218,0.00079706,-0.0141812,0.00127828,0.00155976
-8.85827,-7.86614,0.000987927,0.00104518,-0.0143673,0.00114774,0.0153741,0.000812693,-0.0143879,0.00130892,0.00185611
-8.85827,-7.72441,0.000775181,0.00109179,-0.0145709,0.00118858,0.0156302,0.000828284,-0.0145922,0.00133977,0.00216576
-8.85827,-7.58268,0.000552011,0.00114035,-0.0147715,0.00123075,0.0158901,0.0008438,-0.0147934,0.00137079,0.00248906
-8.85827,-7.44094,0.000318156,0.00119092,-0.0149684,0.00127428,0.0161538,0.000859202,-0.0149911,0.00140191,0.00282633
