x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-8.71429,-1.85714,1.19886,-0.0255908,0.0415909,-0.0253033,1.01368,-0.00529615,0.041559,-0.00553117,1.01922
-8.71429,-1.57143,1.20242,-0.0262127,0.0358327,-0.0259041,1.01391,-0.00458789,0.0358045,-0.00479425,1.01695
-8.71429,-1.28571,1.20547,-0.0267487,0.0297667,-0.0264215,1.0141,-0.00382883,0.0297427,-0.00400301,1.015
-8.71429,-1,1.20797,-0.0271897,0.0234379,-0.0268469,1.01426,-0.003026,0.0234186,-0.00316493,1.01339
-8.71429,-0.714286,1.20987,-0.0275278,0.0168973,-0.0271729,1.01438,-0.00218772,0.0168832,-0.00228886,1.01215
-8.71429,-0.428571,1.21116,-0.0277568,0.0102016,-0.0273936,1.01447,-0.00132331,0.010193,-0.00138477,1.01132
-8.71429,-0.142857,1.21181,-0.0278723,0.00341116,-0.0275049,1.01451,-0.0004429,0.00340827,-0.00046352,1.01089
-8.71429,0.142857,1.21181,-0.0278723,-0.00341116,-0.0275049,1.01451,0.0004429,-0.00340827,0.00046352,1.01089
-8.71429,0.428571,1.21116,-0.0277568,-0.0102016,-0.0273936,1.01447,0.00132331,-0.010193,0.00138477,1.01132
-8.71429,0.714286,1.20987,-0.0275278,-0.0168973,-0.0271729,1.01438,0.00218772,-0.0168832,0.00228886,1.01215
-8.71429,1,1.20797,-0.0271897,-0.0234379,-0.0268469,1.01426,0.003026,-0.0234186,0.00316493,1.01339
-8.71429,1.28571,1.20547,-0.0267487,-0.0297667,-0.0264215,1.0141,0.00382883,-0.0297427,0.00400301,1.015
-8.71429,1.57143,1.20242,-0.0262127,-0.0358327,-0.0259041,1.01391,0.00458789,-0.0358045,0.00479425,1.01695
-8.71429,1.85714,1.19886,-0.0255908,-0.0415909,-0.0253033,1.01368,0.00529615,-0.041559,0.00553117,1.01922
-8.71429,2.14286,1.19483,-0.0248934,-0.0470033,-0.0246289,1.01343,0.00594789,-0.0469685,0.00620776,1.02176
-8.71429,2.42857,1.1904,-0.0241314,-0.0520398,-0.0238912,1.01315,0.00653886,-0.0520027,0.00681961,1.02454
-8.71429,2.71429,1.18561,-0.0233159,-0.0566775,-0.0231009,1.01285,0.00706624,-0.0566387,0.00736384,1.0275
-8.71429,3,1.18052,-0.0224582,-0.0609016,-0.0222686,1.01253,0.00752861,-0.0608617,0.00783907,1.03061
-8.71429,3.28571,1.17519,-0.0215693,-0.0647041,-0.021405,1.0122,0.0079258,-0.0646637,0.00824532,1.03383
-8.71429,3.57143,1.16967,-0.0206595,-0.0680838,-0.0205198,1.01186,0.00825884,-0.0680435,0.00858383,1.03711
-8.71429,3.85714,1.16401,-0.0197385,-0.0710457,-0.0196225,1.01151,0.00852972,-0.0710058,0.00885689,1.04042
-8.71429,4.14286,1.15826,-0.0188151,-0.0735997,-0.0187215,1.01115,0.00874127,-0.0735607,0.00906765,1.04373
-8.71429,4.42857,1.15247,-0.0178971,-0.0757603,-0.0178245,1.01079,0.00889696,-0.0757225,0.00921994,1.04699
-8.71429,4.71429,1.14668,-0.0169914,-0.0775454,-0.0169382,1.01044,0.00900071,-0.077509,0.00931807,1.05019
-8.71429,5,1.14092,-0.0161037,-0.0789756,-0.0160682,1.01008,0.00905679,-0.0789408,0.00936664,1.0533
-8.71429,5.28571,1.13522,-0.0152389,-0.0800735,-0.0152194,1.00973,0.00906962,-0.0800406,0.00937042,1.0563
-8.71429,5.57143,1.12962,-0.0144009,-0.0808631,-0.0143956,1.00939,0.00904368,-0.080832,0.00933423,1.05917
-8.71429,5.85714,1.12413,-0.0135926,-0.0813688,-0.0135999,1.00905,0.0089834,-0.0813396,0.00926277,1.06191
-8.71429,6.14286,1.11878,-0.0128163,-0.0816152,-0.0128346,1.00873,0.00889306,-0.0815879,0.00916061,1.0645
-8.71429,6.42857,1.11357,-0.0120736,-0.0816266,-0.0121013,1.00841,0.00877675,-0.0816012,0.00903207,1.06694
-8.71429,6.71429,1.10852,-0.0113653,-0.0814269,-0.0114011,1.0081,0.00863833,-0.0814033,0.00888119,1.06922
-8.71429,7,1.10365,-0.0106919,-0.0810385,-0.0107343,1.0078,0.00848138,-0.0810168,0.00871172,1.07134
-8.71429,7.28571,1.09895,-0.0100535,-0.0804834,-0.0101015,1.00751,0.00830913,-0.0804634,0.00852711,1.0733
