x,z,alpha
-8.71654,-1.48819,0.899623
-8.71654,-1.34646,0.899378
-8.71654,-1.20472,0.899156
-8.71654,-1.06299,0.898958
-8.71654,-0.92126,0.898783
-8.71654,-0.779528,0.898633
-8.71654,-0.637795,0.898507
-8.71654,-0.496063,0.898406
-8.71654,-0.354331,0.89833
-8.71654,-0.212598,0.89828
-8.71654,-0.0708661,0.898255
-8.71654,0.0708661,0.898256
-8.71654,0.212598,0.898283
-8.71654,0.354331,0.898335
-8.71654,0.496063,0.898412
-8.71654,0.637795,0.898515
-8.71654,0.779528,0.898642
-8.71654,0.92126,0.898794
-8.71654,1.06299,0.89897
-8.71654,1.20472,0.899171
-8.71654,1.34646,0.899394
-8.71654,1.48819,0.89964
-8.71654,1.62992,0.899909
-8.71654,1.77165,0.900199
-8.71654,1.91339,0.90051
-8.71654,2.05512,0.900842
-8.71654,2.19685,0.901193
-8.71654,2.33858,0.901563
-8.71654,2.48031,0.901951
-8.71654,2.62205,0.902356
-8.71654,2.76378,0.902778
-8.71654,2.90551,0.903216
-8.71654,3.04724,0.903668
-8.71654,3.18898,0.904135
-8.71654,3.33071,0.904615
-8.71654,3.47244,0.905107
-8.71654,3.61417,0.905611
-8.71654,3.75591,0.906126
-8.71654,3.89764,0.906652
-8.71654,4.03937,0.907186
-8.71654,4.1811,0.90773
-8.71654,4.32283,0.908281
-8.71654,4.46457,0.908839
-8.71654,4.6063,0.909404
-8.71654,4.74803,0.909975
-8.71654,4.88976,0.910551
-8.71654,5.0315,0.911132
-8.71654,5.17323,0.911716
-8.71654,5.31496,0.912305
-8.71654,5.45669,0.912895
-8.71654,5.59843,0.913489
-8.71654,5.74016,0.914084
-8.71654,5.88189,0.914681
-8.71654,6.02362,0.915278
-8.71654,6.16535,0.915876
-8.71654,6.30709,0.916474
-8.71654,6.44882,0.917072
-8.71654,6.59055,0.917669
-8.71654,6.73228,0.918265
-8.71654,6.87402,0.918859
-8.71654,7.01575,0.919452
-8.71654,7.15748,0.920044
-8.71654,7.29921,0.920632
-8.71654,7.44094,0.921219
-8.71654,7.58268,0.921802
-8.71654,7.72441,0.922383
-8.71654,7.86614,0.922961
-8.71654,8.00787,0.923535
-8.71654,8.14961,0.924106
-8.71654,8.29134,0.924673
-8.71654,8.43307,0.925236
-8.71654,8.5748,0.925789
-8.71654,8.71654,0.926437
-8.71654,8.85827,0.926957
-8.71654,9,0.927191
-8.5748,-9,0.926578
-8.5748,-8.85827,0.926299
-8.5748,-8.71654,0.925759
-8.5748,-8.5748,0.92509
-8.5748,-8.43307,0.924522
-8.5748,-8.29134,0.923945
-8.5748,-8.14961,0.923364
-8.5748,-8.00787,0.922778
-8.5748,-7.86614,0.922189
-8.5748,-7.72441,0.921596
-8.5748,-7.58268,0.921
-8.5748,-7.44094,0.920401
-8.5748,-7.29921,0.919798
-8.5748,-7.15748,0.919193
-8.5748,-7.01575,0.918586
-8.5748,-6.87402,0.917977
-8.5748,-6.73228,0.917365
-8.5748,-6.59055,0.916753
-8.5748,-6.44882,0.916138
-8.5748,-6.30709,0.915524
-8.5748,-6.16535,0.914908
-8.5748,-6.02362,0.914293
-8.5748,-5.88189,0.913678
-8.5748,-5.74016,0.913063
-8.5748,-5.59843,0.91245
-8.5748,-5.45669,0.911839
-8.5748,-5.31496,0.91123
-8.5748,-5.17323,0.910624
-8.5748,-5.0315,0.910021
-8.5748,-4.88976,0.909422
-8.5748,-4.74803,0.908828
-8.5748,-4.6063,0.908239
-8.5748,-4.46457,0.907656
-8.5748,-4.32283,0.90708
-8.5748,-4.1811,0.906511
-8.5748,-4.03937,0.90595
-8.5748,-3.89764,0.905398
-8.5748,-3.75591,0.904856
-8.5748,-3.61417,0.904324
-8.5748,-3.47244,0.903803
-8.5748,-3.33071,0.903294
-8.5748,-3.18898,0.902798
-8.5748,-3.04724,0.902316
-8.5748,-2.90551,0.901849
-8.5748,-2.76378,0.901397
-8.5748,-2.62205,0.900961
-8.5748,-2.48031,0.900542
-8.5748,-2.33858,0.900141
-8.5748,-2.19685,0.899759
-8.5748,-2.05512,0.899396
-8.5748,-1.91339,0.899054
-8.5748,-1.77165,0.898732
-8.5748,-1.62992,0.898433
-8.5748,-1.48819,0.898156
-8.5748,-1.34646,0.897902
-8.5748,-1.20472,0.897671
-8.5748,-1.06299,0.897465
-8.5748,-0.92126,0.897284
-8.5748,-0.779528,0.897127
-8.5748,-0.637795,0.896997
-8.5748,-0.496063,0.896892
-8.5748,-0.354331,0.896813
-8.5748,-0.212598,0.896761
-8.5748,-0.0708661,0.896735
-8.5748,0.0708661,0.896736
-8.5748,0.212598,0.896763
-8.5748,0.354331,0.896817
-8.5748,0.496063,0.896897
-8.5748,0.637795,0.897004
-8.5748,0.779528,0.897136
-8.5748,0.92126,0.897293
-8.5748,1.06299,0.897476
-8.5748,1.20472,0.897684
-8.5748,1.34646,0.897916
-8.5748,1.48819,0.898171
-8.5748,1.62992,0.89845
-8.5748,1.77165,0.898751
-8.5748,1.91339,0.899073
-8.5748,2.05512,0.899417
-8.5748,2.19685,0.899781
-8.5748,2.33858,0.900164
-8.5748,2.48031,0.900566
-8.5748,2.62205,0.900986
-8.5748,2.76378,0.901423
-8.5748,2.90551,0.901876
-8.5748,3.04724,0.902345
-8.5748,3.18898,0.902828
-8.5748,3.33071,0.903324
-8.5748,3.47244,0.903834
-8.5748,3.61417,0.904355
-8.5748,3.75591,0.904888
-8.5748,3.89764,0.905431
-8.5748,4.03937,0.905984
-8.5748,4.1811,0.906545
-8.5748,4.32283,0.907115
-8.5748,4.46457,0.907691
-8.5748,4.6063,0.908275
-8.5748,4.74803,0.908864
-8.5748,4.88976,0.909459
-8.5748,5.0315,0.910058
-8.5748,5.17323,0.910661
-8.5748,5.31496,0.911267
-8.5748,5.45669,0.911876
-8.5748,5.59843,0.912488
-8.5748,5.74016,0.913101
-8.5748,5.88189,0.913716
-8.5748,6.02362,0.914331
-8.5748,6.16535,0.914946
-8.5748,6.30709,0.915562
-8.5748,6.44882,0.916177
-8.5748,6.59055,0.916791
-8.5748,6.73228,0.917404
-8.5748,6.87402,0.918015
-8.5748,7.01575,0.918625
-8.5748,7.15748,0.919232
-8.5748,7.29921,0.919837
-8.5748,7.44094,0.920439
-8.5748,7.58268,0.921038
-8.5748,7.72441,0.921634
-8.5748,7.86614,0.922226
-8.5748,8.00787,0.922815
-8.5748,8.14961,0.923401
-8.5748,8.29134,0.923982
-8.5748,8.43307,0.924559
-8.5748,8.5748,0.925126
-8.5748,8.71654,0.925788
-8.5748,8.85827,0.926318
-8.5748,9,0.926594
-8.43307,-9,0.926054
-8.43307,-8.85827,0.92577
-8.43307,-8.71654,0.925217
-8.43307,-8.5748,0.924534
-8.43307,-8.43307,0.923953
-8.43307,-8.29134,0.923362
-8.43307,-8.14961,0.922766
-8.43307,-8.00787,0.922166
-8.43307,-7.86614,0.921561
-8.43307,-7.72441,0.920953
-8.43307,-7.58268,0.920341
-8.43307,-7.44094,0.919726
-8.43307,-7.29921,0.919107
-8.43307,-7.15748,0.918486
-8.43307,-7.01575,0.917861
-8.43307,-6.87402,0.917234
-8.43307,-6.73228,0.916605
-8.43307,-6.59055,0.915974
-8.43307,-6.44882,0.915341
-8.43307,-6.30709,0.914707
-8.43307,-6.16535,0.914072
-8.43307,-6.02362,0.913437
-8.43307,-5.88189,0.912802
-8.43307,-5.74016,0.912168
-8.43307,-5.59843,0.911534
-8.43307,-5.45669,0.910902
-8.43307,-5.31496,0.910272
-8.43307,-5.17323,0.909644
-8.43307,-5.0315,0.90902
-8.43307,-4.88976,0.908399
-8.43307,-4.74803,0.907783
-8.43307,-4.6063,0.907172
-8.43307,-4.46457,0.906567
-8.43307,-4.32283,0.905968
-8.43307,-4.1811,0.905377
-8.43307,-4.03937,0.904793
-8.43307,-3.89764,0.904219
-8.43307,-3.75591,0.903654
-8.43307,-3.61417,0.9031
-8.43307,-3.47244,0.902557
-8.43307,-3.33071,0.902027
-8.43307,-3.18898,0.90151
-8.43307,-3.04724,0.901006
-8.43307,-2.90551,0.900518
-8.43307,-2.76378,0.900046
-8.43307,-2.62205,0.89959
-8.43307,-2.48031,0.899152
-8.43307,-2.33858,0.898732
-8.43307,-2.19685,0.898332
-8.43307,-2.05512,0.897952
-8.43307,-1.91339,0.897593
-8.43307,-1.77165,0.897257
-8.43307,-1.62992,0.896942
-8.43307,-1.48819,0.896652
-8.43307,-1.34646,0.896385
-8.43307,-1.20472,0.896143
-8.43307,-1.06299,0.895927
-8.43307,-0.92126,0.895736
-8.43307,-0.779528,0.895572
-8.43307,-0.637795,0.895435
-8.43307,-0.496063,0.895325
-8.43307,-0.354331,0.895242
-8.43307,-0.212598,0.895188
-8.43307,-0.0708661,0.89516
-8.43307,0.0708661,0.895161
-8.43307,0.212598,0.89519
-8.43307,0.354331,0.895247
-8.43307,0.496063,0.895331
-8.43307,0.637795,0.895443
-8.43307,0.779528,0.895582
-8.43307,0.92126,0.895747
-8.43307,1.06299,0.895939
-8.43307,1.20472,0.896157
-8.43307,1.34646,0.896401
-8.43307,1.48819,0.896669
-8.43307,1.62992,0.896961
-8.43307,1.77165,0.897276
-8.43307,1.91339,0.897615
-8.43307,2.05512,0.897975
-8.43307,2.19685,0.898356
-8.43307,2.33858,0.898757
-8.43307,2.48031,0.899178
-8.43307,2.62205,0.899617
-8.43307,2.76378,0.900074
-8.43307,2.90551,0.900548
-8.43307,3.04724,0.901037
-8.43307,3.18898,0.901541
-8.43307,3.33071,0.902059
-8.43307,3.47244,0.902591
-8.43307,3.61417,0.903134
-8.43307,3.75591,0.903689
-8.43307,3.89764,0.904255
-8.43307,4.03937,0.90483
-8.43307,4.1811,0.905414
-8.43307,4.32283,0.906005
-8.43307,4.46457,0.906605
-8.43307,4.6063,0.90721
-8.43307,4.74803,0.907822
-8.43307,4.88976,0.908438
-8.43307,5.0315,0.909059
-8.43307,5.17323,0.909684
-8.43307,5.31496,0.910312
-8.43307,5.45669,0.910942
-8.43307,5.59843,0.911574
-8.43307,5.74016,0.912208
-8.43307,5.88189,0.912843
-8.43307,6.02362,0.913478
-8.43307,6.16535,0.914113
-8.43307,6.30709,0.914748
-8.43307,6.44882,0.915382
-8.43307,6.59055,0.916015
-8.43307,6.73228,0.916646
-8.43307,6.87402,0.917275
-8.43307,7.01575,0.917902
-8.43307,7.15748,0.918526
-8.43307,7.29921,0.919148
-8.43307,7.44094,0.919766
-8.43307,7.58268,0.920382
-8.43307,7.72441,0.920993
-8.43307,7.86614,0.921601
-8.43307,8.00787,0.922205
-8.43307,8.14961,0.922805
-8.43307,8.29134,0.923401
-8.43307,8.43307,0.923992
-8.43307,8.5748,0.924572
-8.43307,8.71654,0.925248
-8.43307,8.85827,0.925791
-8.43307,9,0.92607
-8.29134,-9,0.925521
-8.29134,-8.85827,0.925232
-8.29134,-8.71654,0.924666
-8.29134,-8.5748,0.923969
-8.29134,-8.43307,0.923374
-8.29134,-8.29134,0.922769
-8.29134,-8.14961,0.922159
-8.29134,-8.00787,0.921543
-8.29134,-7.86614,0.920924
-8.29134,-7.72441,0.9203
-8.29134,-7.58268,0.919672
-8.29134,-7.44094,0.91904
-8.29134,-7.29921,0.918405
-8.29134,-7.15748,0.917766
-8.29134,-7.01575,0.917124
-8.29134,-6.87402,0.916479
-8.29134,-6.73228,0.915831
-8.29134,-6.59055,0.915182
-8.29134,-6.44882,0.91453
-8.29134,-6.30709,0.913876
-8.29134,-6.16535,0.913222
-8.29134,-6.02362,0.912567
-8.29134,-5.88189,0.911911
-8.29134,-5.74016,0.911256
-8.29134,-5.59843,0.910601
-8.29134,-5.45669,0.909947
-8.29134,-5.31496,0.909295
-8.29134,-5.17323,0.908646
-8.29134,-5.0315,0.907999
-8.29134,-4.88976,0.907356
-8.29134,-4.74803,0.906717
-8.29134,-4.6063,0.906083
-8.29134,-4.46457,0.905455
-8.29134,-4.32283,0.904833
-8.29134,-4.1811,0.904219
-8.29134,-4.03937,0.903612
-8.29134,-3.89764,0.903014
-8.29134,-3.75591,0.902427
-8.29134,-3.61417,0.901849
-8.29134,-3.47244,0.901284
-8.29134,-3.33071,0.90073
-8.29134,-3.18898,0.900191
-8.29134,-3.04724,0.899665
-8.29134,-2.90551,0.899155
-8.29134,-2.76378,0.898661
-8.29134,-2.62205,0.898185
-8.29134,-2.48031,0.897727
-8.29134,-2.33858,0.897288
-8.29134,-2.19685,0.896869
-8.29134,-2.05512,0.896471
-8.29134,-1.91339,0.896095
-8.29134,-1.77165,0.895742
-8.29134,-1.62992,0.895412
-8.29134,-1.48819,0.895107
-8.29134,-1.34646,0.894828
-8.29134,-1.20472,0.894574
-8.29134,-1.06299,0.894347
-8.29134,-0.92126,0.894146
-8.29134,-0.779528,0.893974
-8.29134,-0.637795,0.89383
-8.29134,-0.496063,0.893714
-8.29134,-0.354331,0.893627
-8.29134,-0.212598,0.89357
-8.29134,-0.0708661,0.893541
-8.29134,0.0708661,0.893542
-8.29134,0.212598,0.893572
-8.29134,0.354331,0.893632
-8.29134,0.496063,0.89372
-8.29134,0.637795,0.893838
-8.29134,0.779528,0.893984
-8.29134,0.92126,0.894158
-8.29134,1.06299,0.894359
-8.29134,1.20472,0.894588
-8.29134,1.34646,0.894844
-8.29134,1.48819,0.895125
-8.29134,1.62992,0.895432
-8.29134,1.77165,0.895763
-8.29134,1.91339,0.896117
-8.29134,2.05512,0.896494
-8.29134,2.19685,0.896894
-8.29134,2.33858,0.897314
-8.29134,2.48031,0.897754
-8.29134,2.62205,0.898214
-8.29134,2.76378,0.898691
-8.29134,2.90551,0.899186
-8.29134,3.04724,0.899697
-8.29134,3.18898,0.900224
-8.29134,3.33071,0.900764
-8.29134,3.47244,0.901318
-8.29134,3.61417,0.901885
-8.29134,3.75591,0.902463
-8.29134,3.89764,0.903051
-8.29134,4.03937,0.90365
-8.29134,4.1811,0.904257
-8.29134,4.32283,0.904872
-8.29134,4.46457,0.905494
-8.29134,4.6063,0.906123
-8.29134,4.74803,0.906757
-8.29134,4.88976,0.907396
-8.29134,5.0315,0.90804
-8.29134,5.17323,0.908687
-8.29134,5.31496,0.909337
-8.29134,5.45669,0.909989
-8.29134,5.59843,0.910642
-8.29134,5.74016,0.911297
-8.29134,5.88189,0.911953
-8.29134,6.02362,0.912609
-8.29134,6.16535,0.913264
-8.29134,6.30709,0.913919
-8.29134,6.44882,0.914572
-8.29134,6.59055,0.915224
-8.29134,6.73228,0.915873
-8.29134,6.87402,0.916521
-8.29134,7.01575,0.917166
-8.29134,7.15748,0.917808
-8.29134,7.29921,0.918446
-8.29134,7.44094,0.919082
-8.29134,7.58268,0.919713
-8.29134,7.72441,0.920341
-8.29134,7.86614,0.920965
-8.29134,8.00787,0.921584
-8.29134,8.14961,0.922199
-8.29134,8.29134,0.922809
-8.29134,8.43307,0.923414
-8.29134,8.5748,0.924009
-8.29134,8.71654,0.924698
-8.29134,8.85827,0.925253
-8.29134,9,0.925537
-8.14961,-9,0.924985
-8.14961,-8.85827,0.924691
-8.14961,-8.71654,0.924112
-8.14961,-8.5748,0.923402
-8.14961,-8.43307,0.922792
-8.14961,-8.29134,0.922172
-8.14961,-8.14961,0.921547
-8.14961,-8.00787,0.920916
-8.14961,-7.86614,0.920281
-8.14961,-7.72441,0.919641
-8.14961,-7.58268,0.918997
-8.14961,-7.44094,0.918348
-8.14961,-7.29921,0.917696
-8.14961,-7.15748,0.917039
-8.14961,-7.01575,0.916379
-8.14961,-6.87402,0.915715
-8.14961,-6.73228,0.915049
-8.14961,-6.59055,0.91438
-8.14961,-6.44882,0.913708
-8.14961,-6.30709,0.913035
-8.14961,-6.16535,0.91236
-8.14961,-6.02362,0.911684
-8.14961,-5.88189,0.911007
-8.14961,-5.74016,0.91033
-8.14961,-5.59843,0.909653
-8.14961,-5.45669,0.908977
-8.14961,-5.31496,0.908303
-8.14961,-5.17323,0.90763
-8.14961,-5.0315,0.90696
-8.14961,-4.88976,0.906294
-8.14961,-4.74803,0.905631
-8.14961,-4.6063,0.904973
-8.14961,-4.46457,0.904321
-8.14961,-4.32283,0.903675
-8.14961,-4.1811,0.903036
-8.14961,-4.03937,0.902405
-8.14961,-3.89764,0.901783
-8.14961,-3.75591,0.901171
-8.14961,-3.61417,0.900569
-8.14961,-3.47244,0.89998
-8.14961,-3.33071,0.899403
-8.14961,-3.18898,0.898839
-8.14961,-3.04724,0.89829
-8.14961,-2.90551,0.897757
-8.14961,-2.76378,0.897241
-8.14961,-2.62205,0.896743
-8.14961,-2.48031,0.896263
-8.14961,-2.33858,0.895803
-8.14961,-2.19685,0.895364
-8.14961,-2.05512,0.894947
-8.14961,-1.91339,0.894553
-8.14961,-1.77165,0.894183
-8.14961,-1.62992,0.893837
-8.14961,-1.48819,0.893517
-8.14961,-1.34646,0.893223
-8.14961,-1.20472,0.892957
-8.14961,-1.06299,0.892718
-8.14961,-0.92126,0.892507
-8.14961,-0.779528,0.892326
-8.14961,-0.637795,0.892175
-8.14961,-0.496063,0.892053
-8.14961,-0.354331,0.891962
-8.14961,-0.212598,0.891901
-8.14961,-0.0708661,0.891871
-8.14961,0.0708661,0.891872
-8.14961,0.212598,0.891904
-8.14961,0.354331,0.891966
-8.14961,0.496063,0.892059
-8.14961,0.637795,0.892183
-8.14961,0.779528,0.892336
-8.14961,0.92126,0.892519
-8.14961,1.06299,0.892731
-8.14961,1.20472,0.892972
-8.14961,1.34646,0.89324
-8.14961,1.48819,0.893535
-8.14961,1.62992,0.893857
-8.14961,1.77165,0.894205
-8.14961,1.91339,0.894576
-8.14961,2.05512,0.894972
-8.14961,2.19685,0.89539
-8.14961,2.33858,0.895831
-8.14961,2.48031,0.896292
-8.14961,2.62205,0.896773
-8.14961,2.76378,0.897272
-8.14961,2.90551,0.89779
-8.14961,3.04724,0.898324
-8.14961,3.18898,0.898873
-8.14961,3.33071,0.899438
-8.14961,3.47244,0.900016
-8.14961,3.61417,0.900606
-8.14961,3.75591,0.901209
-8.14961,3.89764,0.901821
-8.14961,4.03937,0.902444
-8.14961,4.1811,0.903076
-8.14961,4.32283,0.903715
-8.14961,4.46457,0.904362
-8.14961,4.6063,0.905014
-8.14961,4.74803,0.905672
-8.14961,4.88976,0.906335
-8.14961,5.0315,0.907002
-8.14961,5.17323,0.907672
-8.14961,5.31496,0.908345
-8.14961,5.45669,0.90902
