x,z,T_00,T_01,T_02,T_03,T_10,T_11,T_12,T_13,T_20,T_21,T_22,T_23,T_30,T_31,T_32,T_33
97,124,-5.87094e-19,-4.91532e-19,-2.93625e-19,-8.33855e-19,-4.91602e-19,-2.58169e-19,-3.77784e-19,-2.9154e-19,-2.94861e-19,-3.78952e-19,-3.30394e-20,-7.19387e-19,-8.34325e-19,-2.91939e-19,-7.18619e-19,-3.14957e-19
97,125,-2.50511e-19,-1.93412e-19,-1.4118e-19,-3.11363e-19,-1.93451e-19,-9.6774e-20,-1.51002e-19,-1.08899e-19,-1.41608e-19,-1.51391e-19,-4.40921e-20,-2.68699e-19,-3.11578e-19,-1.09076e-19,-2.68486e-19,-1.16953e-19
97,126,-9.71753e-20,-6.66503e-20,-6.02517e-20,-1.03507e-19,-6.66652e-20,-3.2564e-20,-5.25949e-20,-3.61705e-20,-6.03828e-20,-5.27111e-20,-2.76975e-20,-8.93844e-20,-1.03578e-19,-3.62265e-20,-8.93242e-20,-3.89552e-20
97,127,1.61873e-20,-8.2931e-21,1.67693e-20,-1.1471e-20,-8.29918e-21,-2.00075e-21,-6.57452e-21,-4.2048e-21,1.67426e-20,-6.59509e-21,1.85042e-20,-9.76537e-21,-1.14868e-20,-4.21455e-21,-9.75454e-21,-2.92493e-21
98,0,4.94224e-20,-2.76226e-22,4.93775e-20,3.70743e-23,-3.11858e-22,7.91181e-23,-2.28614e-22,3.70743e-23,4.92871e-20,-2.83417e-22,4.93212e-20,3.70743e-23,-3.56533e-23,-2.17727e-26,5.47805e-23,8.52855e-23
98,1,6.54659e-20,-6.46668e-22,6.50733e-20,3.56019e-23,-6.9568e-22,3.20971e-22,-5.77778e-22,3.56019e-23,6.49479e-20,-6.54132e-22,6.48141e-20,3.56019e-23,-4.94344e-23,-4.22321e-25,7.59319e-23,2.30911e-22
98,2,-7.64101e-20,-5.49377e-22,-7.81648e-20,-9.89313e-23,-4.91003e-22,9.94022e-22,-6.23332e-22,-9.89313e-23,-7.80442e-20,-5.61104e-22,-7.89912e-20,-9.89313e-23,5.51804e-23,-3.19347e-24,-6.54211e-23,5.28179e-22
98,3,2.74368e-19,-6.78804e-21,2.69942e-19,-2.2292e-23,-6.96661e-21,3.13026e-21,-6.429e-21,-2.22914e-23,2.69394e-19,-6.79803e-21,2.67345e-19,-2.22919e-23,-1.91963e-22,-1.33906e-23,3.55638e-22,1.87502e-21
98,4,-1.76891e-20,-1.68419e-20,-3.12519e-20,2.9181e-23,-1.68731e-20,8.00887e-21,-1.66788e-20,2.91874e-23,-3.14394e-20,-1.68351e-20,-3.83189e-20,2.91812e-23,-5.34933e-23,-2.22617e-23,1.34062e-22,5.50903e-21
98,5,1.22942e-18,-5.53611e-20,1.19395e-18,5.81822e-23,-5.62171e-20,2.09025e-20,-5.34982e-20,5.82285e-23,1.19132e-18,-5.52794e-20,1.17443e-18,5.81837e-23,-9.37306e-22,-8.12587e-23,1.69983e-21,1.57608e-20
