x,z,rho,p,vx,vy,vz
4.9,-0.5,4.0392e-11,1.21176e-11,-0.0204862,0.225348,0
4.9,-0.4,1.05938e-10,3.17815e-11,0.132528,0.243717,-1.54552
4.9,-0.3,2.72325e-10,8.16975e-11,0.131995,0.248591,-1.50389
4.9,-0.2,6.86115e-10,2.05835e-10,0.131436,0.253675,-1.46285
4.9,-0.1,1.69427e-09,5.08281e-10,0.130849,0.258982,-1.42239
4.9,1.11022e-16,4.10057e-09,1.23017e-09,0.130231,0.264528,-1.3825
4.9,0.1,9.72706e-09,2.91812e-09,0.12958,0.270329,-1.34315
4.9,0.2,2.26149e-08,6.78447e-09,0.128892,0.276402,-1.30433
4.9,0.3,5.15328e-08,1.54599e-08,0.128166,0.282768,-1.26602
4.9,0.4,1.15093e-07,3.45279e-08,0.127397,0.289448,-1.2282
4.9,0.5,2.51936e-07,7.55808e-08,0.126582,0.296464,-1.19085
4.9,0.6,5.40514e-07,1.62154e-07,0.125716,0.303844,-1.15396
4.9,0.7,1.13658e-06,3.40974e-07,0.124795,0.311616,-1.11751
4.9,0.8,2.34244e-06,7.02734e-07,0.123813,0.319812,-1.08148
4.9,0.9,4.73165e-06,1.4195e-06,0.122765,0.328468,-1.04585
4.9,1,9.36769e-06,2.81035e-06,0.121644,0.337622,-1.01061
4.9,1.1,1.81773e-05,5.45335e-06,0.120443,0.347319,-0.975743
4.9,1.2,3.45701e-05,1.03716e-05,0.119156,0.357608,-0.941238
4.9,1.3,6.44389e-05,1.93338e-05,0.117775,0.368544,-0.907089
4.9,1.4,0.000117726,3.53247e-05,0.116293,0.380192,-0.873299
4.9,1.5,0.000210801,6.32624e-05,0.114706,0.392621,-0.839883
4.9,1.6,0.000369954,0.000111055,0.113012,0.405913,-0.806874
4.9,1.7,0.000636354,0.000191109,0.111214,0.420162,-0.774333
4.9,1.8,0.00107282,0.000322421,0.109323,0.435476,-0.742352
4.9,1.9,0.00177267,0.000533374,0.107363,0.451979,-0.711067
4.9,2,0.00287083,0.000865371,0.105373,0.469816,-0.680665
4.9,2.1,0.00455683,0.00137743,0.103416,0.489159,-0.651385
4.9,2.2,0.00708914,0.00215187,0.10158,0.510209,-0.623519
4.9,2.3,0.0108094,0.00330123,0.0999902,0.533205,-0.597402
4.9,2.4,0.0161541,0.00497671,0.0988079,0.558432,-0.573382
4.9,2.5,0.0236614,0.00737836,0.0982358,0.586232,-0.551781
4.9,2.6,0.0339684,0.0107675,0.0985169,0.617017,-0.532829
4.9,2.7,0.0477953,0.0154808,0.0999316,0.651285,-0.516577
4.9,2.8,0.0659131,0.0219462,0.102795,0.689645,-0.502795
4.9,2.9,0.0890909,0.0306959,0.107454,0.732848,-0.49084
4.9,3,0.118024,0.0423721,0.114327,0.781811,-0.479537
4.9,3.1,0.153244,0.0577153,0.123875,0.83774,-0.466924
4.9,3.2,0.195018,0.0775213,0.137064,0.901938,-0.450568
4.9,3.3,0.243243,0.102556,0.154598,0.976589,-0.425546
4.9,3.4,0.297359,0.133419,0.17969,1.06383,-0.388655
4.9,3.5,0.356285,0.170355,0.217513,1.16336,-0.332882
4.9,3.6,0.418399,0.213049,0.266997,1.28143,-0.234248
4.9,3.7,0.481571,0.260426,0.354316,1.41712,-0.0865051
4.9,3.8,0.543256,0.310541,0.497035,1.55747,0.142313
4.9,3.9,0.600655,0.36059,0.706142,1.66646,0.520425
4.9,4,0.650911,0.407116,0.932022,1.66166,1.17056
4.9,4.1,0.691344,0.446381,0.891899,1.49942,2.26961
4.9,4.2,0.719685,0.474879,0.0709713,1.79265,3.68378
4.9,4.3,0.734288,0.489876,0.55833,4.50561,3.39044
4.9,4.4,0.734288,0.489876,0.55833,4.50561,-3.39044
4.9,4.5,0.719685,0.474879,0.0709713,1.79265,-3.68378
4.9,4.6,0.691344,0.446381,0.891899,1.49942,-2.26961
4.9,4.7,0.650911,0.407116,0.932022,1.66166,-1.17056
4.9,4.8,0.600655,0.36059,0.706142,1.66646,-0.520425
4.9,4.9,0.543256,0.310541,0.497035,1.55747,-0.142313
4.9,5,0.481571,0.260426,0.354316,1.41712,0.0865051
4.9,5.1,0.418399,0.213049,0.266997,1.28143,0.234248
4.9,5.2,0.356285,0.170355,0.217513,1.16336,0.332882
4.9,5.3,0.297359,0.133419,0.17969,1.06383,0.388655
4.9,5.4,0.243243,0.102556,0.154598,0.976589,0.425546
4.9,5.5,0.195018,0.0775213,0.137064,0.901938,0.450568
4.9,5.6,0.153244,0.0577153,0.123875,0.83774,0.466924
4.9,5.7,0.118024,0.0423721,0.114327,0.781811,0.479537
4.9,5.8,0.0890909,0.0306959,0.107454,0.732848,0.49084
4.9,5.9,0.0659131,0.0219462,0.102795,0.689645,0.502795
4.9,6,0.0477953,0.0154808,0.0999316,0.651285,0.516577
4.9,6.1,0.0339684,0.0107675,0.0985169,0.617017,0.532829
4.9,6.2,0.0236614,0.00737836,0.0982358,0.586232,0.551781
4.9,6.3,0.0161541,0.00497671,0.0988079,0.558432,0.573382
4.9,6.4,0.0108094,0.00330123,0.0999902,0.533205,0.597402
4.9,6.5,0.00708914,0.00215187,0.10158,0.510209,0.623519
4.9,6.6,0.00455683,0.00137743,0.103416,0.489159,0.651385
4.9,6.7,0.00287083,0.000865371,0.105373,0.469816,0.680665
4.9,6.8,0.00177267,0.000533374,0.107363,0.451979,0.711067
4.9,6.9,0.00107282,0.000322421,0.109323,0.435476,0.742352
4.9,7,0.000636354,0.000191109,0.111214,0.420162,0.774333
4.9,7.1,0.000369954,0.000111055,0.113012,0.405913,0.806874
4.9,7.2,0.000210801,6.32624e-05,0.114706,0.392621,0.839883
4.9,7.3,0.000117726,3.53247e-05,0.116293,0.380192,0.873299
4.9,7.4,6.44389e-05,1.93338e-05,0.117775,0.368544,0.907089
4.9,7.5,3.45701e-05,1.03716e-05,0.119156,0.357608,0.941238
4.9,7.6,1.81773e-05,5.45335e-06,0.120443,0.347319,0.975743
4.9,7.7,9.36769e-06,2.81035e-06,0.121644,0.337622,1.01061
4.9,7.8,4.73165e-06,1.4195e-06,0.122765,0.328468,1.04585
4.9,7.9,2.34244e-06,7.02734e-07,0.123813,0.319812,1.08148
4.9,8,1.13658e-06,3.40974e-07,0.124795,0.311616,1.11751
4.9,8.1,5.40514e-07,1.62154e-07,0.125716,0.303844,1.15396
4.9,8.2,2.51936e-07,7.55808e-08,0.126582,0.296464,1.19085
4.9,8.3,1.15093e-07,3.45279e-08,0.127397,0.289448,1.2282
4.9,8.4,5.15328e-08,1.54599e-08,0.128166,0.282768,1.26602
4.9,8.5,2.26149e-08,6.78447e-09,0.128892,0.276402,1.30433
4.9,8.6,9.72706e-09,2.91812e-09,0.12958,0.270329,1.34315
4.9,8.7,4.10057e-09,1.23017e-09,0.130231,0.264528,1.3825
4.9,8.8,1.69427e-09,5.08281e-10,0.130849,0.258982,1.42239
4.9,8.9,6.86115e-10,2.05835e-10,0.131436,0.253675,1.46285
4.9,9,2.72325e-10,8.16975e-11,0.131995,0.248591,1.50389
4.9,9.1,1.05938e-10,3.17815e-11,0.132528,0.243717,1.54552
4.9,9.2,4.0392e-11,1.21176e-11,-0.0204862,0.225348,0
4.9,9.3,1.50943e-11,4.52829e-12,-0.0200774,0.220852,0
4.9,9.4,5.5285e-12,1.65855e-12,-0.0196846,0.216531,0
4.9,9.5,1.98462e-12,5.95385e-13,-0.0193068,0.212375,0
4.9,9.6,6.98268e-13,2.0948e-13,-0.0189431,0.208374,0
4.9,9.7,2.40793e-13,7.22379e-14,-0.0185928,0.204521,0
4.9,9.8,8.13844e-14,2.44153e-14,-0.0182551,0.200807,0
4.9,9.9,2.69596e-14,8.08789e-15,-0.0179295,0.197224,0
4.9,10,8.75312e-15,2.62594e-15,-0.0176152,0.193767,0
4.9,10.1,2.7854e-15,8.35621e-16,-0.0173116,0.190428,0
4.9,10.2,8.68738e-16,2.60621e-16,-0.0170183,0.187202,0
4.9,10.3,2.65562e-16,7.96685e-17,-0.0167348,0.184083,0
4.9,10.4,7.95642e-17,2.38693e-17,-0.0164605,0.181065,0
4.9,10.5,2.33639e-17,7.00918e-18,-0.016195,0.178145,0
4.9,10.6,6.72435e-18,2.01731e-18,-0.0159379,0.175317,0
4.9,10.7,6.72435e-18,2.01731e-18,-0.0159379,0.175317,0
5,-2,5.96082e-18,1.78824e-18,-0.0159137,0.206878,0
5,-1.9,5.96082e-18,1.78824e-18,-0.0159137,0.206878,0
5,-1.8,2.0711e-17,6.21331e-18,-0.0161696,0.210204,0
5,-1.7,7.05299e-17,2.1159e-17,-0.0164338,0.213639,0
5,-1.6,2.35408e-16,7.06223e-17,-0.0167067,0.217188,0
