x,z,rho,p,vx,vy,vz
-1.8,-0.8,0.00343982,0.00103786,-0.121736,-2.01432,-0.0478381
-1.8,-0.7,0.00408677,0.00123438,-0.118898,-2.0467,-0.0421408
-1.8,-0.6,0.00481156,0.00145504,-0.115885,-2.07891,-0.0366039
-1.8,-0.5,0.00561373,0.00169988,-0.112702,-2.1108,-0.0312639
-1.8,-0.4,0.0064905,0.00196821,-0.109359,-2.14223,-0.0261604
-1.8,-0.3,0.00743646,0.00225859,-0.10587,-2.17305,-0.0213357
-1.8,-0.2,0.00844335,0.00256865,-0.102254,-2.20308,-0.0168344
-1.8,-0.1,0.00950001,0.00289513,-0.0985384,-2.23215,-0.0127017
-1.8,1.11022e-16,0.0105924,0.00323382,-0.0947577,-2.26007,-0.00898145
-1.8,0.1,0.0117038,0.00357961,-0.0909542,-2.28664,-0.00571467
-1.8,0.2,0.0128149,0.0039266,-0.0871784,-2.31166,-0.00293644
-1.8,0.3,0.013905,0.00426816,-0.0834887,-2.33493,-0.000673276
-1.8,0.4,0.0149514,0.0045972,-0.0799501,-2.35623,0.00105986
-1.8,0.5,0.0159315,0.00490636,-0.0766328,-2.37538,0.00226239
-1.8,0.6,0.0168226,0.00518827,-0.0736098,-2.39219,0.00295055
-1.8,0.7,0.0176031,0.00543585,-0.0709535,-2.40649,0.00315898
-1.8,0.8,0.0182534,0.00564263,-0.0687325,-2.41812,0.00294134
-1.8,0.9,0.018757,0.005803,-0.0670076,-2.42696,0.0023696
-1.8,1,0.0191003,0.00591251,-0.0658283,-2.43292,0.00153195
-1.8,1.1,0.0192744,0.00596806,-0.0652296,-2.43591,0.000529295
-1.8,1.2,0.0192744,0.00596806,-0.0652296,-2.43591,-0.000529295
-1.8,1.3,0.0191003,0.00591251,-0.0658283,-2.43292,-0.00153195
-1.8,1.4,0.018757,0.005803,-0.0670076,-2.42696,-0.0023696
-1.8,1.5,0.0182534,0.00564263,-0.0687325,-2.41812,-0.00294134
-1.8,1.6,0.0176031,0.00543585,-0.0709535,-2.40649,-0.00315898
-1.8,1.7,0.0168226,0.00518827,-0.0736098,-2.39219,-0.00295055
-1.8,1.8,0.0159315,0.00490636,-0.0766328,-2.37538,-0.00226239
-1.8,1.9,0.0149514,0.0045972,-0.0799501,-2.35623,-0.00105986
-1.8,2,0.013905,0.00426816,-0.0834887,-2.33493,0.000673276
-1.8,2.1,0.0128149,0.0039266,-0.0871784,-2.31166,0.00293644
-1.8,2.2,0.0117038,0.00357961,-0.0909542,-2.28664,0.00571467
-1.8,2.3,0.0105924,0.00323382,-0.0947577,-2.26007,0.00898145
-1.8,2.4,0.00950001,0.00289513,-0.0985384,-2.23215,0.0127017
-1.8,2.5,0.00844335,0.00256865,-0.102254,-2.20308,0.0168344
-1.8,2.6,0.00743646,0.00225859,-0.10587,-2.17305,0.0213357
-1.8,2.7,0.0064905,0.00196821,-0.109359,-2.14223,0.0261604
-1.8,2.8,0.00561373,0.00169988,-0.112702,-2.1108,0.0312639
-1.8,2.9,0.00481156,0.00145504,-0.115885,-2.07891,0.0366039
-1.8,3,0.00408677,0.00123438,-0.118898,-2.0467,0.0421408
-1.8,3.1,0.00343982,0.00103786,-0.121736,-2.01432,0.0478381
-1.8,3.2,0.00286914,0.000864859,-0.124399,-1.98187,0.0536634
