x,z,Gamma000,Gamma001,Gamma002,Gamma010,Gamma011,Gamma012,Gamma020,Gamma021,Gamma022,Gamma100,Gamma101,Gamma102,Gamma110,Gamma111,Gamma112,Gamma120,Gamma121,Gamma122,Gamma200,Gamma201,Gamma202,Gamma210,Gamma211,Gamma212,Gamma220,Gamma221,Gamma222
4.28571,-1.04762,-0.0154572,0.0607444,0.0420363,0.0607584,0.154021,-0.0116853,0.0420368,-0.0116799,0.167364,0.013384,-0.025457,-0.0518888,-0.0254528,-0.0584278,0.0179377,-0.0518874,0.0179388,-0.0450678,0.0268453,0.00794979,-0.0175555,0.0079422,-0.0660741,-0.00378989,-0.0175554,-0.00378668,-0.0459749
4.28571,-0.857143,-0.0191941,0.0615791,0.0358389,0.0615951,0.159403,-0.00944673,0.0358394,-0.00944175,0.174888,0.0198486,-0.0279234,-0.045429,-0.0279187,-0.060385,0.0156516,-0.0454278,0.0156526,-0.0543203,0.0240489,0.00686554,-0.0121527,0.00685855,-0.0562555,-0.0027041,-0.0121525,-0.00269987,-0.0398921
4.28571,-0.666667,-0.0224404,0.0622144,0.0288306,0.0622322,0.164025,-0.00725243,0.0288311,-0.00724815,0.181246,0.0255653,-0.0300843,-0.0373373,-0.0300791,-0.0620344,0.0128298,-0.0373363,0.0128306,-0.0624676,0.0201117,0.00558139,-0.00739205,0.00557541,-0.0452151,-0.00172126,-0.00739171,-0.00171606,-0.0325494
4.28571,-0.47619,-0.0250393,0.0626676,0.0211308,0.062687,0.167694,-0.00511796,0.0211312,-0.00511466,0.186226,0.0302039,-0.0318258,-0.0278126,-0.0318202,-0.0633239,0.00953831,-0.0278119,0.00953898,-0.0690572,0.0151694,0.00412375,-0.00354001,0.00411915,-0.0331223,-0.000909625,-0.00353955,-0.000903586,-0.024113
4.28571,-0.285714,-0.0268556,0.0629568,0.0129012,0.0629773,0.170243,-0.00304223,0.0129014,-0.00304014,0.189652,0.0334765,-0.0330487,-0.0171662,-0.0330428,-0.0642099,0.00587957,-0.0171657,0.00587999,-0.0736961,0.00943862,0.00253141,-0.000827687,0.0025285,-0.0202169,-0.00032989,-0.000827142,-0.000323235,-0.0148278
4.28571,-0.0952381,-0.0277901,0.0630971,0.00433831,0.0631183,0.17155,-0.00100893,0.0043384,-0.00100822,0.191398,0.0351698,-0.0336797,-0.00580407,-0.0336736,-0.0646611,0.00198668,-0.00580391,0.00198682,-0.0760931,0.00320397,0.000853574,0.000573959,0.000852582,-0.00679758,-2.77434e-05,0.000574553,-2.07621e-05,-0.00500413
4.28571,0.0952381,-0.0277901,0.0630971,-0.00433831,0.0631183,0.17155,0.00100893,-0.0043384,0.00100822,0.191398,0.0351698,-0.0336797,0.00580407,-0.0336736,-0.0646611,-0.00198668,0.00580391,-0.00198682,-0.0760931,-0.00320397,-0.000853574,0.000573959,-0.000852582,0.00679758,-2.77434e-05,0.000574553,-2.07621e-05,0.00500413
4.28571,0.285714,-0.0268556,0.0629568,-0.0129012,0.0629773,0.170243,0.00304223,-0.0129014,0.00304014,0.189652,0.0334765,-0.0330487,0.0171662,-0.0330428,-0.0642099,-0.00587957,0.0171657,-0.00587999,-0.0736961,-0.00943862,-0.00253141,-0.000827687,-0.0025285,0.0202169,-0.00032989,-0.000827142,-0.000323235,0.0148278
4.28571,0.47619,-0.0250393,0.0626676,-0.0211308,0.062687,0.167694,0.00511796,-0.0211312,0.00511466,0.186226,0.0302039,-0.0318258,0.0278126,-0.0318202,-0.0633239,-0.00953831,0.0278119,-0.00953898,-0.0690572,-0.0151694,-0.00412375,-0.00354001,-0.00411915,0.0331223,-0.000909625,-0.00353955,-0.000903586,0.024113
4.28571,0.666667,-0.0224404,0.0622144,-0.0288306,0.0622322,0.164025,0.00725243,-0.0288311,0.00724815,0.181246,0.0255653,-0.0300843,0.0373373,-0.0300791,-0.0620344,-0.0128298,0.0373363,-0.0128306,-0.0624676,-0.0201117,-0.00558139,-0.00739205,-0.00557541,0.0452151,-0.00172126,-0.00739171,-0.00171606,0.0325494
4.28571,0.857143,-0.0191941,0.0615791,-0.0358389,0.0615951,0.159403,0.00944673,-0.0358394,0.00944175,0.174888,0.0198486,-0.0279234,0.045429,-0.0279187,-0.060385,-0.0156516,0.0454278,-0.0156526,-0.0543203,-0.0240489,-0.00686554,-0.0121527,-0.00685855,0.0562555,-0.0027041,-0.0121525,-0.00269987,0.0398921
4.28571,1.04762,-0.0154572,0.0607444,-0.0420363,0.0607584,0.154021,0.0116853,-0.0420368,0.0116799,0.167364,0.013384,-0.025457,0.0518888,-0.0254528,-0.0584278,-0.0179377,0.0518874,-0.0179388,-0.0450678,-0.0268453,-0.00794979,-0.0175555,-0.0079422,0.0660741,-0.00378989,-0.0175554,-0.00378668,0.0459749
