x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
182.857,-101.587,1.46315,-0.159138,-0.290525,-0.159129,1.0533,0.0995531,-0.290525,0.0995582,1.18052
182.857,-93.4603,1.48625,-0.170402,-0.281837,-0.170392,1.05827,0.0984992,-0.281837,0.0985047,1.16164
182.857,-85.3333,1.50931,-0.18186,-0.270689,-0.181849,1.06342,0.0963925,-0.270688,0.0963984,1.14215
182.857,-77.2063,1.53205,-0.193361,-0.256909,-0.193348,1.06869,0.0931127,-0.256909,0.0931189,1.12234
182.857,-69.0794,1.55415,-0.204722,-0.240368,-0.204707,1.07398,0.0885567,-0.240368,0.0885631,1.10255
182.857,-60.9524,1.57525,-0.215732,-0.22099,-0.215715,1.07918,0.082648,-0.22099,0.0826544,1.08319
182.857,-52.8254,1.59497,-0.226157,-0.198771,-0.226138,1.08418,0.0753477,-0.19877,0.0753539,1.0647
182.857,-44.6984,1.61288,-0.235746,-0.173791,-0.235725,1.08884,0.0666636,-0.173791,0.0666695,1.04758
182.857,-36.5714,1.62859,-0.244243,-0.146229,-0.24422,1.093,0.0566595,-0.146229,0.0566648,1.03232
182.857,-28.4444,1.64172,-0.2514,-0.116365,-0.251375,1.09654,0.0454597,-0.116365,0.0454641,1.01941
182.857,-20.3175,1.6519,-0.256991,-0.0845811,-0.256964,1.09933,0.0332495,-0.0845808,0.0332529,1.00928
182.857,-12.1905,1.65886,-0.26083,-0.0513498,-0.260802,1.10125,0.020271,-0.0513496,0.0202731,1.00231
182.857,-4.06349,1.66239,-0.262784,-0.0172184,-0.262756,1.10223,0.0068116,-0.0172184,0.0068123,0.99876
182.857,4.06349,1.66239,-0.262784,0.0172184,-0.262756,1.10223,-0.0068116,0.0172184,-0.0068123,0.99876
182.857,12.1905,1.65886,-0.26083,0.0513498,-0.260802,1.10125,-0.020271,0.0513496,-0.0202731,1.00231
182.857,20.3175,1.6519,-0.256991,0.0845811,-0.256964,1.09933,-0.0332495,0.0845808,-0.0332529,1.00928
182.857,28.4444,1.64172,-0.2514,0.116365,-0.251375,1.09654,-0.0454597,0.116365,-0.0454641,1.01941
182.857,36.5714,1.62859,-0.244243,0.146229,-0.24422,1.093,-0.0566595,0.146229,-0.0566648,1.03232
182.857,44.6984,1.61288,-0.235746,0.173791,-0.235725,1.08884,-0.0666636,0.173791,-0.0666695,1.04758
182.857,52.8254,1.59497,-0.226157,0.198771,-0.226138,1.08418,-0.0753477,0.19877,-0.0753539,1.0647
182.857,60.9524,1.57525,-0.215732,0.22099,-0.215715,1.07918,-0.082648,0.22099,-0.0826544,1.08319
