x,z,K00,K01,K02,K10,K11,K12,K20,K21,K22
12.1905,-158.476,0.514776,0.000314428,0.0622517,0.000312648,0.518982,-0.00315765,0.0622619,-0.00320266,-0.389768
12.1905,-150.349,0.553065,0.000485451,0.0681481,0.000483077,0.557782,-0.00495707,0.0681698,-0.00501298,-0.404988
12.1905,-142.222,0.594306,0.000718233,0.0743395,0.000715174,0.599547,-0.00728329,0.0743783,-0.0073522,-0.418018
12.1905,-134.095,0.638452,0.0010327,0.0806452,0.00102894,0.644192,-0.0102721,0.0807096,-0.0103559,-0.427497
12.1905,-125.968,0.685294,0.00145383,0.0867536,0.00144959,0.691436,-0.0140865,0.0868564,-0.0141862,-0.431539
12.1905,-117.841,0.734393,0.00201159,0.0921531,0.00200754,0.740715,-0.0189169,0.0923143,-0.0190312,-0.427557
12.1905,-109.714,0.784977,0.00273905,0.0960343,0.00273687,0.79105,-0.0249757,0.096285,-0.0250982,-0.412036
12.1905,-101.587,0.835832,0.00366674,0.0971482,0.00367015,0.840878,-0.0324846,0.0975383,-0.0325989,-0.380271
12.1905,-93.4603,0.885167,0.00480935,0.0936103,0.00482611,0.887844,-0.0416504,0.094221,-0.0417207,-0.32607
12.1905,-85.3333,0.930511,0.00613799,0.0826373,0.00618365,0.928567,-0.0526307,0.0836026,-0.0525858,-0.241508
12.1905,-77.2063,0.968686,0.00752633,0.060212,0.00763132,0.95842,-0.0655029,0.0617573,-0.0652081,-0.116874
12.1905,-69.0794,0.996009,0.00865317,0.0206926,0.0088759,0.97144,-0.0802854,0.0232019,-0.0794969,0.0588198
12.1905,-60.9524,1.00895,0.00883392,-0.0435793,0.00928436,0.960564,-0.0971429,-0.0394459,-0.0954359,0.296072
12.1905,-52.8254,1.00572,0.00677456,-0.142534,0.00765678,0.918477,-0.117061,-0.135639,-0.113724,0.600405
12.1905,-44.6984,0.989197,1.59337e-05,-0.288449,0.00168334,0.839872,-0.143583,-0.27686,-0.137553,0.963186
12.1905,-36.5714,0.974132,-0.0145013,-0.494562,-0.0112852,0.722334,-0.185961,-0.475051,-0.1752,1.3432
12.1905,-28.4444,0.986256,-0.0494574,-0.772797,-0.044757,0.58724,-0.275977,-0.741302,-0.262919,1.61266
12.1905,-20.3175,1.19373,-0.105896,-1.19905,-0.0916791,0.417477,-0.336991,-1.13922,-0.296392,1.97889
12.1905,-12.1905,0.884884,-0.135311,-0.291525,-0.198081,0.286597,-1.50752,-0.375589,-1.76037,-3.72495
12.1905,-4.06349,8.453,-1.70303,-7.92458,-0.715592,-1.19793,-7.21588,-6.58362,-2.87496,24.5612
12.1905,4.06349,8.453,-1.70303,7.92458,-0.715592,-1.19793,7.21588,6.58362,2.87496,24.5612
12.1905,12.1905,0.884884,-0.135311,0.291525,-0.198081,0.286597,1.50752,0.375589,1.76037,-3.72495
12.1905,20.3175,1.19373,-0.105896,1.19905,-0.0916791,0.417477,0.336991,1.13922,0.296392,1.97889
12.1905,28.4444,0.986256,-0.0494574,0.772797,-0.044757,0.58724,0.275977,0.741302,0.262919,1.61266
12.1905,36.5714,0.974132,-0.0145013,0.494562,-0.0112852,0.722334,0.185961,0.475051,0.1752,1.3432
12.1905,44.6984,0.989197,1.59337e-05,0.288449,0.00168334,0.839872,0.143583,0.27686,0.137553,0.963186
12.1905,52.8254,1.00572,0.00677456,0.142534,0.00765678,0.918477,0.117061,0.135639,0.113724,0.600405
12.1905,60.9524,1.00895,0.00883392,0.0435793,0.00928436,0.960564,0.0971429,0.0394459,0.0954359,0.296072
12.1905,69.0794,0.996009,0.00865317,-0.0206926,0.0088759,0.97144,0.0802854,-0.0232019,0.0794969,0.0588198
12.1905,77.2063,0.968686,0.00752633,-0.060212,0.00763132,0.95842,0.0655029,-0.0617573,0.0652081,-0.116874
12.1905,85.3333,0.930511,0.00613799,-0.0826373,0.00618365,0.928567,0.0526307,-0.0836026,0.0525858,-0.241508
12.1905,93.4603,0.885167,0.00480935,-0.0936103,0.00482611,0.887844,0.0416504,-0.094221,0.0417207,-0.32607
12.1905,101.587,0.835832,0.00366674,-0.0971482,0.00367015,0.840878,0.0324846,-0.0975383,0.0325989,-0.380271
12.1905,109.714,0.784977,0.00273905,-0.0960343,0.00273687,0.79105,0.0249757,-0.096285,0.0250982,-0.412036
12.1905,117.841,0.734393,0.00201159,-0.0921531,0.00200754,0.740715,0.0189169,-0.0923143,0.0190312,-0.427557
12.1905,125.968,0.685294,0.00145383,-0.0867536,0.00144959,0.691436,0.0140865,-0.0868564,0.0141862,-0.431539
12.1905,134.095,0.638452,0.0010327,-0.0806452,0.00102894,0.644192,0.0102721,-0.0807096,0.0103559,-0.427497
12.1905,142.222,0.594306,0.000718233,-0.0743395,0.000715174,0.599547,0.00728329,-0.0743783,0.0073522,-0.418018
12.1905,150.349,0.553065,0.000485451,-0.0681481,0.000483077,0.557782,0.00495707,-0.0681698,0.00501298,-0.404988
12.1905,158.476,0.514776,0.000314428,-0.0622517,0.000312648,0.518982,0.00315765,-0.0622619,0.00320266,-0.389768
12.1905,166.603,0.479384,0.000189703,-0.0567455,0.000188406,0.483113,0.00177436,-0.0567481,0.00181044,-0.373333
12.1905,174.73,0.446766,9.94848e-05,-0.0516705,9.8566e-05,0.450061,0.000718181,-0.051668,0.000747042,-0.356368
12.1905,182.857,0.416762,3.48751e-05,-0.0470341,3.42444e-05,0.419669,-8.17874e-05,-0.0470282,-5.87012e-05,-0.339351
12.1905,190.984,0.389193,-1.07937e-05,-0.0428235,-1.1209e-05,0.391758,-0.000681624,-0.0428155,-0.00066314,-0.32261
12.1905,199.111,0.363877,-4.2496e-05,-0.0390147,-4.27527e-05,0.366139,-0.0011255,-0.0390054,-0.00111067,-0.306361
12.1905,207.238,0.340629,-6.39324e-05,-0.0355779,-6.4074e-05,0.342626,-0.0014481,-0.0355679,-0.00143618,-0.290742
12.1905,215.365,0.319274,-7.78583e-05,-0.0324811,-7.79176e-05,0.321039,-0.0016766,-0.0324709,-0.00166699,-0.275834
12.1905,223.492,0.299644,-8.63532e-05,-0.0296926,-8.63545e-05,0.301206,-0.00183206,-0.029683,-0.00182429,-0.261685
12.1905,231.619,0.281607,-9.0915e-05,-0.0271845,-9.09063e-05,0.282992,-0.00193089,-0.0271745,-0.00192463,-0.248228
12.1905,239.746,0.265241,-8.94373e-05,-0.0250025,-8.97023e-05,0.266521,-0.00200054,-0.0249133,-0.00199407,-0.234239
12.1905,247.873,0.252317,-8.96133e-05,-0.0230905,-9.31452e-05,0.253494,-0.00213795,-0.0229559,-0.00213242,-0.206242
12.1905,256,0.251049,-9.10468e-05,-0.0230817,-9.20276e-05,0.25219,-0.0020815,-0.0229841,-0.00207911,-0.216671
20.3175,-256,0.248485,0.000129686,0.0370551,0.000128531,0.251445,-0.00123795,0.0369578,-0.00124175,-0.214258
20.3175,-247.873,0.249709,0.000141828,0.0370609,0.000137956,0.252757,-0.00114298,0.0369266,-0.00115174,-0.203881
20.3175,-239.746,0.262375,0.000180111,0.0400842,0.000179418,0.265687,-0.00174724,0.0399975,-0.00175806,-0.231662
20.3175,-231.619,0.278489,0.00021053,0.0435735,0.000210009,0.282068,-0.00230059,0.0435639,-0.00231098,-0.245269
20.3175,-223.492,0.296169,0.000277741,0.0475273,0.000277069,0.300186,-0.00294825,0.0475182,-0.00296116,-0.258406
20.3175,-215.365,0.315399,0.000362685,0.0519132,0.000361773,0.319912,-0.0037391,0.0519038,-0.00375509,-0.272196
20.3175,-207.238,0.336308,0.000469903,0.0567734,0.000468674,0.341383,-0.00470432,0.0567645,-0.00472418,-0.286705
20.3175,-199.111,0.359062,0.000606023,0.0621551,0.000604375,0.364772,-0.00588277,0.0621471,-0.00590752,-0.301885
20.3175,-190.984,0.383832,0.000779106,0.0681051,0.000776906,0.390259,-0.00732282,0.0680989,-0.00735374,-0.317657
